Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)",ICD10 codes
Actual,Breast cancer,1982,Males,00–04,0,0.0,C50
Actual,Breast cancer,1982,Males,05–09,0,0.0,C50
Actual,Breast cancer,1982,Males,10–14,0,0.0,C50
Actual,Breast cancer,1982,Males,15–19,0,0.0,C50
Actual,Breast cancer,1982,Males,20–24,0,0.0,C50
Actual,Breast cancer,1982,Males,25–29,0,0.0,C50
Actual,Breast cancer,1982,Males,30–34,1,0.2,C50
Actual,Breast cancer,1982,Males,35–39,1,0.2,C50
Actual,Breast cancer,1982,Males,40–44,2,0.5,C50
Actual,Breast cancer,1982,Males,45–49,3,0.8,C50
Actual,Breast cancer,1982,Males,50–54,3,0.8,C50
Actual,Breast cancer,1982,Males,55–59,10,2.7,C50
Actual,Breast cancer,1982,Males,60–64,6,2.0,C50
Actual,Breast cancer,1982,Males,65–69,7,2.8,C50
Actual,Breast cancer,1982,Males,70–74,11,6.0,C50
Actual,Breast cancer,1982,Males,75–79,8,7.2,C50
Actual,Breast cancer,1982,Males,80–84,5,9.1,C50
Actual,Breast cancer,1982,Males,85–89,4,19.2,C50
Actual,Breast cancer,1982,Males,90+,0,0.0,C50
Actual,Breast cancer,1982,Males,Unknown,0,. .,C50
Actual,Breast cancer,1983,Males,00–04,0,0.0,C50
Actual,Breast cancer,1983,Males,05–09,0,0.0,C50
Actual,Breast cancer,1983,Males,10–14,0,0.0,C50
Actual,Breast cancer,1983,Males,15–19,0,0.0,C50
Actual,Breast cancer,1983,Males,20–24,0,0.0,C50
Actual,Breast cancer,1983,Males,25–29,1,0.2,C50
Actual,Breast cancer,1983,Males,30–34,0,0.0,C50
Actual,Breast cancer,1983,Males,35–39,1,0.2,C50
Actual,Breast cancer,1983,Males,40–44,2,0.4,C50
Actual,Breast cancer,1983,Males,45–49,2,0.5,C50
Actual,Breast cancer,1983,Males,50–54,1,0.3,C50
Actual,Breast cancer,1983,Males,55–59,4,1.1,C50
Actual,Breast cancer,1983,Males,60–64,6,1.9,C50
Actual,Breast cancer,1983,Males,65–69,8,3.2,C50
Actual,Breast cancer,1983,Males,70–74,3,1.6,C50
Actual,Breast cancer,1983,Males,75–79,9,7.8,C50
Actual,Breast cancer,1983,Males,80–84,7,12.1,C50
Actual,Breast cancer,1983,Males,85–89,1,4.7,C50
Actual,Breast cancer,1983,Males,90+,0,0.0,C50
Actual,Breast cancer,1983,Males,Unknown,0,. .,C50
Actual,Breast cancer,1984,Males,00–04,0,0.0,C50
Actual,Breast cancer,1984,Males,05–09,0,0.0,C50
Actual,Breast cancer,1984,Males,10–14,0,0.0,C50
Actual,Breast cancer,1984,Males,15–19,0,0.0,C50
Actual,Breast cancer,1984,Males,20–24,0,0.0,C50
Actual,Breast cancer,1984,Males,25–29,0,0.0,C50
Actual,Breast cancer,1984,Males,30–34,3,0.5,C50
Actual,Breast cancer,1984,Males,35–39,0,0.0,C50
Actual,Breast cancer,1984,Males,40–44,1,0.2,C50
Actual,Breast cancer,1984,Males,45–49,3,0.7,C50
Actual,Breast cancer,1984,Males,50–54,3,0.8,C50
Actual,Breast cancer,1984,Males,55–59,4,1.0,C50
Actual,Breast cancer,1984,Males,60–64,9,2.7,C50
Actual,Breast cancer,1984,Males,65–69,14,5.6,C50
Actual,Breast cancer,1984,Males,70–74,4,2.0,C50
Actual,Breast cancer,1984,Males,75–79,1,0.8,C50
Actual,Breast cancer,1984,Males,80–84,6,9.8,C50
Actual,Breast cancer,1984,Males,85–89,1,4.6,C50
Actual,Breast cancer,1984,Males,90+,0,0.0,C50
Actual,Breast cancer,1984,Males,Unknown,0,. .,C50
Actual,Breast cancer,1985,Males,00–04,0,0.0,C50
Actual,Breast cancer,1985,Males,05–09,0,0.0,C50
Actual,Breast cancer,1985,Males,10–14,0,0.0,C50
Actual,Breast cancer,1985,Males,15–19,0,0.0,C50
Actual,Breast cancer,1985,Males,20–24,0,0.0,C50
Actual,Breast cancer,1985,Males,25–29,0,0.0,C50
Actual,Breast cancer,1985,Males,30–34,0,0.0,C50
Actual,Breast cancer,1985,Males,35–39,4,0.6,C50
Actual,Breast cancer,1985,Males,40–44,2,0.4,C50
Actual,Breast cancer,1985,Males,45–49,3,0.7,C50
Actual,Breast cancer,1985,Males,50–54,6,1.6,C50
Actual,Breast cancer,1985,Males,55–59,13,3.4,C50
Actual,Breast cancer,1985,Males,60–64,11,3.2,C50
Actual,Breast cancer,1985,Males,65–69,4,1.6,C50
Actual,Breast cancer,1985,Males,70–74,6,2.9,C50
Actual,Breast cancer,1985,Males,75–79,5,4.0,C50
Actual,Breast cancer,1985,Males,80–84,2,3.2,C50
Actual,Breast cancer,1985,Males,85–89,2,8.4,C50
Actual,Breast cancer,1985,Males,90+,1,11.7,C50
Actual,Breast cancer,1985,Males,Unknown,0,. .,C50
Actual,Breast cancer,1986,Males,00–04,1,0.2,C50
Actual,Breast cancer,1986,Males,05–09,0,0.0,C50
Actual,Breast cancer,1986,Males,10–14,0,0.0,C50
Actual,Breast cancer,1986,Males,15–19,0,0.0,C50
Actual,Breast cancer,1986,Males,20–24,0,0.0,C50
Actual,Breast cancer,1986,Males,25–29,1,0.1,C50
Actual,Breast cancer,1986,Males,30–34,0,0.0,C50
Actual,Breast cancer,1986,Males,35–39,0,0.0,C50
Actual,Breast cancer,1986,Males,40–44,0,0.0,C50
Actual,Breast cancer,1986,Males,45–49,4,0.9,C50
Actual,Breast cancer,1986,Males,50–54,6,1.6,C50
Actual,Breast cancer,1986,Males,55–59,4,1.0,C50
Actual,Breast cancer,1986,Males,60–64,5,1.4,C50
Actual,Breast cancer,1986,Males,65–69,7,2.6,C50
Actual,Breast cancer,1986,Males,70–74,9,4.3,C50
Actual,Breast cancer,1986,Males,75–79,7,5.3,C50
Actual,Breast cancer,1986,Males,80–84,7,10.6,C50
Actual,Breast cancer,1986,Males,85–89,1,3.9,C50
Actual,Breast cancer,1986,Males,90+,0,0.0,C50
Actual,Breast cancer,1986,Males,Unknown,0,. .,C50
Actual,Breast cancer,1987,Males,00–04,0,0.0,C50
